Project Code,PA/NF Status,Model Name,Model Family,Platform,Platform Group,Fuel Type,Fuel Type Group,Build Type,OEM,Brand,Segment,Body Type,SSS,Brand Indicator,YEAR, Volume(simulation) ,Volume Property,PR Status,SOP Time,EOP Time,Model Family SOP,Model Family EOP,Volume Level,C6 Premises,Cloud Info,Remark
VW216/0CN_K,NF,Tacqua,Tacqua,MQB 27,MQB,ICE,ICE,CKD,FAW-VW,VW,A0,SUV/CUV,Main,Volume,2017," 80,785 ",AaK,PR66.SP,1900/1/0,2020/4/1,,,Vol.  Level,KAK0119,,
VW216/0CN_K,NF,Tacqua,Tacqua,MQB 27,MQB,ICE,ICE,CKD,FAW-VW,VW,A0,SUV/CUV,Main,Volume,2018," 131,894 ",AaK,PR66.SP,1900/1/0,2020/4/1,,,Vol.  Level,KAK0119,,
VW216/0CN_K,NF,Tacqua,Tacqua,MQB 27,MQB,ICE,ICE,CKD,FAW-VW,VW,A0,SUV/CUV,Main,Volume,2019," 107,934 ",AaK,PR66.SP,1900/1/0,2020/4/1,,,Vol.  Level,KAK0119,,
VW216/0CN_K,NF,Tacqua,Tacqua,MQB 27,MQB,ICE,ICE,CKD,FAW-VW,VW,A0,SUV/CUV,Main,Volume,2020," 77,329 ",AaK,PR66.SP,1900/1/0,2020/4/1,,,Vol.  Level,KAK0119,,
VW216/0CN_K1,PA,Tacqua PA,Tacqua,MQB 27,MQB,ICE,ICE,CKD,FAW-VW,VW,A0,SUV/CUV,Main,Volume,2020," 95,810 ",AaK,PR66.SP,2020/4/1,2024/7/1,,,Vol.  Level,KAK0119,,
VW216/0CN_K1,PA,Tacqua PA,Tacqua,MQB 27,MQB,ICE,ICE,CKD,FAW-VW,VW,A0,SUV/CUV,Main,Volume,2021," 138,030 ",AaK,PR66.SP,2020/4/1,2024/7/1,,,Vol.  Level,KAK0119,,
VW216/0CN_K1,PA,Tacqua PA,Tacqua,MQB 27,MQB,ICE,ICE,CKD,FAW-VW,VW,A0,SUV/CUV,Main,Volume,2022," 116,222 ",AaK,PR66.SP,2020/4/1,2024/7/1,,,Vol.  Level,KAK0119,,
VW216/0CN_K1,PA,Tacqua PA,Tacqua,MQB 27,MQB,ICE,ICE,CKD,FAW-VW,VW,A0,SUV/CUV,Main,Volume,2023," 89,906 ",AaK,PR66.SP,2020/4/1,2024/7/1,,,Vol.  Level,KAK0119,,
VW216/0CN_K1,PA,Tacqua PA,Tacqua,MQB 27,MQB,ICE,ICE,CKD,FAW-VW,VW,A0,SUV/CUV,Main,Volume,2024," 94,053 ",AaK,PR66.SP,2020/4/1,2024/7/1,,,Vol.  Level,KAK0119,,
VW226/0CN_K,NF,Tacqua NF,Tacqua,MQB 27 (W),MQB,ICE,ICE,CKD,FAW-VW,VW,A0,SUV/CUV,Main,Volume,2024," 68,551 ",AaK,PR66.SP,2024/7/1,2099/12/1,,,Vol.  Level,KAK0119,,
